data,produto,categoria,quantidade,preco,regiao
2026-07-09,Suporte Monitor,Mobiliario,1,103.49,Sudeste
2026-07-09,Smartphone,Eletronicos,7,1901.86,Centro-Oeste
2026-07-09,SSD 1TB,Armazenamento,3,441.84,Sudeste
2026-07-09,Suporte Monitor,Mobiliario,6,157.51,Centro-Oeste
2026-07-09,Mesa Ajustavel,Mobiliario,2,2460.41,Norte
2026-07-09,Monitor,Eletronicos,7,1447.40,Sul
2026-07-09,Teclado,Perifericos,11,304.11,Sul
2026-07-09,Mesa Ajustavel,Mobiliario,2,1546.23,Sudeste
2026-07-09,SSD 1TB,Armazenamento,4,568.05,Nordeste
2026-07-09,Webcam,Perifericos,8,469.62,Sudeste
2026-07-09,Monitor,Eletronicos,13,1744.71,Sul
2026-07-09,Notebook,Eletronicos,5,4375.08,Nordeste
2026-07-09,Teclado,Perifericos,12,405.87,Centro-Oeste
2026-07-09,Teclado,Perifericos,6,396.51,Centro-Oeste
2026-07-09,Notebook,Eletronicos,10,4497.37,Centro-Oeste
2026-07-09,Smartphone,Eletronicos,3,1308.76,Sudeste
2026-07-10,Mesa Ajustavel,Mobiliario,1,2110.24,Nordeste
2026-07-10,HD Externo 2TB,Armazenamento,7,448.34,Sul
2026-07-10,Headset,Perifericos,5,547.78,Nordeste
2026-07-10,SSD 1TB,Armazenamento,15,716.39,Sul
2026-07-10,Monitor,Eletronicos,11,971.68,Nordeste
2026-07-10,HD Externo 2TB,Armazenamento,4,592.23,Norte
2026-07-10,Mesa Ajustavel,Mobiliario,5,2444.62,Sul
2026-07-10,Teclado,Perifericos,14,400.94,Nordeste
2026-07-10,Pen Drive 128GB,Armazenamento,13,55.69,Nordeste
2026-07-10,Mouse,Perifericos,13,148.14,Sudeste
2026-07-10,Notebook,Eletronicos,9,3191.20,Sudeste
2026-07-10,Suporte Monitor,Mobiliario,8,164.25,Sul
2026-07-10,Notebook,Eletronicos,2,3512.68,Sul
2026-07-10,Monitor,Eletronicos,4,1346.59,Sudeste
2026-07-10,Teclado,Perifericos,8,172.12,Centro-Oeste
2026-07-10,Smartphone,Eletronicos,1,3369.95,Sul
2026-07-11,Cadeira Gamer,Mobiliario,14,1404.41,Sudeste
2026-07-11,Mouse,Perifericos,5,143.78,Nordeste
2026-07-11,Smartphone,Eletronicos,3,3259.41,Sul
2026-07-11,Monitor,Eletronicos,15,1381.41,Sudeste
2026-07-11,Notebook,Eletronicos,15,4023.46,Centro-Oeste
2026-07-11,Monitor,Eletronicos,11,845.94,Sudeste
2026-07-11,SSD 1TB,Armazenamento,2,347.88,Nordeste
2026-07-11,Notebook,Eletronicos,9,4221.25,Centro-Oeste
2026-07-11,Mesa Ajustavel,Mobiliario,12,1976.01,Sudeste
2026-07-11,Pen Drive 128GB,Armazenamento,9,45.66,Nordeste
2026-07-11,Teclado,Perifericos,2,399.79,Sudeste
2026-07-11,Smartphone,Eletronicos,8,2634.37,Sul
2026-07-11,Mouse,Perifericos,2,89.82,Sul
2026-07-12,Pen Drive 128GB,Armazenamento,1,109.50,Sudeste
2026-07-12,Monitor,Eletronicos,4,1750.46,Sudeste
2026-07-12,Teclado,Perifericos,11,257.04,Sudeste
2026-07-12,Headset,Perifericos,3,405.87,Nordeste
2026-07-12,Headset,Perifericos,13,282.98,Sudeste
2026-07-12,Notebook,Eletronicos,6,2920.46,Sudeste
2026-07-12,Pen Drive 128GB,Armazenamento,2,66.14,Sudeste
2026-07-12,Pen Drive 128GB,Armazenamento,4,59.14,Sul
2026-07-12,Mouse,Perifericos,7,174.88,Sudeste
2026-07-12,Cadeira Gamer,Mobiliario,9,1881.99,Sul
2026-07-12,Pen Drive 128GB,Armazenamento,1,121.41,Sudeste
2026-07-13,Mesa Ajustavel,Mobiliario,7,2719.11,Sudeste
2026-07-13,Smartphone,Eletronicos,1,1836.59,Sul
2026-07-13,Pen Drive 128GB,Armazenamento,8,80.23,Nordeste
2026-07-13,Pen Drive 128GB,Armazenamento,13,81.14,Sudeste
2026-07-13,Cadeira Gamer,Mobiliario,12,1292.88,Sudeste
2026-07-13,Mesa Ajustavel,Mobiliario,15,1809.24,Sul
2026-07-13,Notebook,Eletronicos,11,3528.64,Norte
2026-07-13,Smartphone,Eletronicos,5,2185.67,Sudeste
2026-07-13,Mesa Ajustavel,Mobiliario,6,1503.60,Sudeste
2026-07-13,SSD 1TB,Armazenamento,13,334.27,Sudeste
2026-07-13,Suporte Monitor,Mobiliario,15,183.91,Nordeste
2026-07-13,Pen Drive 128GB,Armazenamento,6,90.28,Nordeste
2026-07-13,Cadeira Gamer,Mobiliario,7,2244.71,Nordeste
2026-07-14,Cadeira Gamer,Mobiliario,4,2041.39,Sul
2026-07-14,SSD 1TB,Armazenamento,7,471.00,Norte
2026-07-14,Pen Drive 128GB,Armazenamento,11,71.39,Nordeste
2026-07-14,HD Externo 2TB,Armazenamento,12,446.33,Sul
2026-07-14,Headset,Perifericos,10,441.84,Nordeste
2026-07-14,SSD 1TB,Armazenamento,2,640.71,Sudeste
2026-07-15,Pen Drive 128GB,Armazenamento,6,99.53,Sudeste
2026-07-15,Mesa Ajustavel,Mobiliario,1,1307.62,Centro-Oeste
2026-07-15,Mouse,Perifericos,7,45.85,Nordeste
2026-07-15,HD Externo 2TB,Armazenamento,9,419.46,Sul
2026-07-15,Cadeira Gamer,Mobiliario,13,1238.61,Nordeste
2026-07-15,Notebook,Eletronicos,5,4080.91,Norte
2026-07-15,Webcam,Perifericos,11,401.28,Sul
2026-07-15,Headset,Perifericos,13,586.21,Sudeste
2026-07-15,Webcam,Perifericos,14,180.31,Sudeste
2026-07-15,SSD 1TB,Armazenamento,10,691.77,Sul
2026-07-16,Teclado,Perifericos,9,364.96,Sudeste
2026-07-16,Mouse,Perifericos,13,124.90,Nordeste
2026-07-16,Cadeira Gamer,Mobiliario,8,1842.63,Sul
2026-07-16,Monitor,Eletronicos,3,1677.59,Nordeste
2026-07-16,Mesa Ajustavel,Mobiliario,15,1386.48,Norte
2026-07-16,Webcam,Perifericos,15,434.82,Centro-Oeste
2026-07-16,Mouse,Perifericos,4,77.30,Sul
2026-07-16,Webcam,Perifericos,12,223.38,Sul
2026-07-16,Cadeira Gamer,Mobiliario,7,2054.29,Sul
2026-07-17,Smartphone,Eletronicos,5,1299.47,Sul
2026-07-17,Headset,Perifericos,6,471.60,Sudeste
2026-07-17,Teclado,Perifericos,5,309.74,Sudeste
2026-07-17,HD Externo 2TB,Armazenamento,8,395.57,Sudeste
2026-07-17,Mesa Ajustavel,Mobiliario,6,2810.07,Norte
2026-07-17,Headset,Perifericos,2,193.34,Sudeste
2026-07-17,Headset,Perifericos,8,340.36,Sudeste
2026-07-17,Webcam,Perifericos,12,421.81,Nordeste
2026-07-17,Notebook,Eletronicos,3,3205.53,Sul
2026-07-17,Monitor,Eletronicos,4,1300.84,Sudeste
2026-07-17,SSD 1TB,Armazenamento,13,375.69,Centro-Oeste
2026-07-17,Monitor,Eletronicos,11,1162.18,Norte
2026-07-18,Suporte Monitor,Mobiliario,,358.84,Sudeste
2026-07-18,Smartphone,Eletronicos,15,2063.68,Centro-Oeste
2026-07-18,Pen Drive 128GB,Armazenamento,14,107.48,Sudeste
2026-07-18,Headset,Perifericos,13,286.25,Sul
2026-07-18,Notebook,Eletronicos,7,2802.88,Centro-Oeste
2026-07-18,Mesa Ajustavel,Mobiliario,12,2792.47,Nordeste
2026-07-18,Webcam,Perifericos,12,484.04,Sul
2026-07-18,Mesa Ajustavel,Mobiliario,11,2214.67,Sudeste
2026-07-18,Mouse,Perifericos,12,94.52,Sudeste
2026-07-18,Smartphone,Eletronicos,12,1214.42,Nordeste
2026-07-18,Cadeira Gamer,Mobiliario,3,1504.04,Nordeste
2026-07-19,Smartphone,Eletronicos,13,1660.34,Sul
2026-07-19,Smartphone,Eletronicos,12,1481.05,Norte
2026-07-19,Teclado,Perifericos,13,377.41,Sudeste
2026-07-19,Pen Drive 128GB,Armazenamento,12,59.42,Sudeste
2026-07-19,Suporte Monitor,Mobiliario,12,349.23,Sul
2026-07-19,Pen Drive 128GB,Armazenamento,9,86.19,Sudeste
2026-07-19,Notebook,Eletronicos,15,4101.51,Sudeste
2026-07-19,Smartphone,Eletronicos,8,3590.81,Centro-Oeste
2026-07-19,Monitor,Eletronicos,14,963.42,Sudeste
2026-07-19,Headset,Perifericos,4,560.29,Sudeste
2026-07-20,Headset,Perifericos,8,571.01,Sudeste
2026-07-20,Mouse,Perifericos,4,146.61,Sul
2026-07-20,Mouse,Perifericos,12,64.85,Sudeste
2026-07-20,Teclado,Perifericos,1,272.16,Nordeste
2026-07-20,Smartphone,Eletronicos,5,3646.77,Sul
2026-07-20,Cadeira Gamer,Mobiliario,11,1219.13,Sudeste
2026-07-20,Webcam,Perifericos,9,233.18,Sudeste
2026-07-20,Cadeira Gamer,Mobiliario,8,1861.04,Nordeste
2026-07-20,Cadeira Gamer,Mobiliario,6,1245.88,Sudeste
2026-07-20,Pen Drive 128GB,Armazenamento,4,67.70,Sudeste
2026-07-20,Mesa Ajustavel,Mobiliario,9,1834.38,Sudeste
2026-07-20,Mesa Ajustavel,Mobiliario,10,1223.16,Nordeste
2026-07-21,Pen Drive 128GB,Armazenamento,12,85.47,Nordeste
2026-07-21,HD Externo 2TB,Armazenamento,5,585.83,Sudeste
2026-07-21,Headset,Perifericos,5,127.50,Sul
2026-07-21,Notebook,Eletronicos,3,4178.94,Centro-Oeste
2026-07-21,Monitor,Eletronicos,2,1405.04,Sul
2026-07-21,Monitor,Eletronicos,4,974.67,Sudeste
2026-07-21,Notebook,Eletronicos,5,4001.82,Nordeste
2026-07-21,Monitor,Eletronicos,11,1716.27,Sul
2026-07-21,Teclado,Perifericos,10,233.28,Nordeste
2026-07-21,SSD 1TB,Armazenamento,,763.82,Sudeste
2026-07-21,Teclado,Perifericos,12,118.92,Centro-Oeste
2026-07-22,Mouse,Perifericos,13,75.04,Sudeste
2026-07-22,Headset,Perifericos,12,360.48,Sudeste
2026-07-22,Cadeira Gamer,Mobiliario,12,1721.32,Nordeste
2026-07-22,Suporte Monitor,Mobiliario,2,332.30,Sudeste
2026-07-22,Mesa Ajustavel,Mobiliario,10,2461.60,Nordeste
2026-07-22,HD Externo 2TB,Armazenamento,9,598.68,Sul
2026-07-22,Monitor,Eletronicos,13,1664.81,Sul
2026-07-22,Suporte Monitor,Mobiliario,14,123.60,Norte
2026-07-22,Pen Drive 128GB,Armazenamento,6,97.98,Sudeste
2026-07-22,Webcam,Perifericos,11,415.93,Nordeste
2026-07-23,Monitor,Eletronicos,8,862.97,Nordeste
2026-07-23,Cadeira Gamer,Mobiliario,5,2102.83,Centro-Oeste
2026-07-23,Notebook,Eletronicos,8,3971.93,Sul
2026-07-23,Notebook,Eletronicos,12,3347.95,Sudeste
2026-07-23,Monitor,Eletronicos,6,1237.35,Sudeste
2026-07-23,Pen Drive 128GB,Armazenamento,14,88.74,Centro-Oeste
2026-07-23,Teclado,Perifericos,15,320.12,Sudeste
2026-07-23,Monitor,Eletronicos,2,1505.43,Sudeste
2026-07-23,Cadeira Gamer,Mobiliario,4,1534.07,Sudeste
2026-07-23,Smartphone,Eletronicos,9,2459.29,Sudeste
2026-07-23,Pen Drive 128GB,Armazenamento,1,72.04,Sul
2026-07-23,Pen Drive 128GB,Armazenamento,7,129.02,Nordeste
2026-07-24,Mesa Ajustavel,Mobiliario,6,1865.91,Nordeste
2026-07-24,Notebook,Eletronicos,5,3597.97,Sul
2026-07-24,Teclado,Perifericos,10,108.94,Centro-Oeste
2026-07-24,Teclado,Perifericos,12,361.82,Centro-Oeste
2026-07-24,Teclado,Perifericos,9,252.45,Sudeste
2026-07-24,SSD 1TB,Armazenamento,13,430.08,Sudeste
2026-07-24,Mouse,Perifericos,9,150.68,Sudeste
2026-07-24,Pen Drive 128GB,Armazenamento,5,114.75,Sudeste
2026-07-24,Pen Drive 128GB,Armazenamento,7,83.70,Sudeste
2026-07-24,Monitor,Eletronicos,15,1291.76,Nordeste
2026-07-25,Suporte Monitor,Mobiliario,15,173.74,Sudeste
2026-07-25,Smartphone,Eletronicos,14,3157.26,Sudeste
2026-07-25,Pen Drive 128GB,Armazenamento,10,101.20,Centro-Oeste
2026-07-25,Teclado,Perifericos,7,358.29,Sul
2026-07-25,Mouse,Perifericos,4,123.63,Sudeste
2026-07-26,Mouse,Perifericos,8,123.33,Nordeste
2026-07-26,Cadeira Gamer,Mobiliario,1,1021.21,Sudeste
2026-07-26,Mesa Ajustavel,Mobiliario,12,1433.27,Sudeste
2026-07-26,Suporte Monitor,Mobiliario,10,159.32,Sul
2026-07-26,Monitor,Eletronicos,4,1480.58,Sudeste
2026-07-26,Teclado,Perifericos,3,112.64,Sudeste
2026-07-26,Notebook,Eletronicos,11,4196.42,Sul
2026-07-26,Pen Drive 128GB,Armazenamento,3,84.99,Nordeste
2026-07-26,Monitor,Eletronicos,3,1149.38,Nordeste
2026-07-26,SSD 1TB,Armazenamento,9,532.51,Sudeste
2026-07-26,Teclado,Perifericos,10,280.95,Nordeste
2026-07-26,Webcam,Perifericos,11,508.88,Sudeste
2026-07-26,Monitor,Eletronicos,6,1734.62,Norte
2026-07-27,Notebook,Eletronicos,6,4153.44,Sudeste
2026-07-27,SSD 1TB,Armazenamento,15,690.13,Centro-Oeste
2026-07-27,Cadeira Gamer,Mobiliario,4,1427.72,Sudeste
2026-07-27,HD Externo 2TB,Armazenamento,15,567.99,Sul
2026-07-27,Headset,Perifericos,11,243.93,Sudeste
2026-07-27,Webcam,Perifericos,3,166.78,Sudeste
2026-07-27,Cadeira Gamer,Mobiliario,2,1221.07,Sul
2026-07-27,Teclado,Perifericos,12,211.65,Sul
2026-07-27,HD Externo 2TB,Armazenamento,6,512.30,Nordeste
2026-07-27,Monitor,Eletronicos,7,888.15,Nordeste
2026-07-27,Notebook,Eletronicos,12,3701.82,Sudeste
2026-07-27,Notebook,Eletronicos,4,3312.41,Sudeste
2026-07-28,Smartphone,Eletronicos,8,2858.55,Sul
2026-07-28,Headset,Perifericos,3,537.10,Sudeste
2026-07-28,Notebook,Eletronicos,1,3409.01,Nordeste
2026-07-28,Mesa Ajustavel,Mobiliario,10,1178.06,Nordeste
2026-07-28,Headset,Perifericos,11,609.18,Sudeste
2026-07-28,Pen Drive 128GB,Armazenamento,9,50.10,Centro-Oeste
2026-07-28,Mouse,Perifericos,11,109.74,Norte
2026-07-28,Suporte Monitor,Mobiliario,13,217.30,Sul
2026-07-28,Notebook,Eletronicos,5,3994.59,Sudeste
2026-07-28,Teclado,Perifericos,13,258.59,Sudeste
2026-07-29,Suporte Monitor,Mobiliario,11,369.18,Nordeste
2026-07-29,Webcam,Perifericos,1,359.39,Nordeste
2026-07-29,Teclado,Perifericos,12,226.53,Sudeste
2026-07-29,SSD 1TB,Armazenamento,10,495.27,Nordeste
2026-07-29,Mesa Ajustavel,Mobiliario,15,2198.15,Nordeste
2026-07-29,Mouse,Perifericos,13,57.87,Centro-Oeste
2026-07-29,Notebook,Eletronicos,14,4472.85,Centro-Oeste
2026-07-29,Mesa Ajustavel,Mobiliario,13,1414.09,Nordeste
2026-07-29,Suporte Monitor,Mobiliario,1,144.66,Sudeste
2026-07-29,Mesa Ajustavel,Mobiliario,11,1320.02,Sudeste
2026-07-29,Headset,Perifericos,1,216.14,Sudeste
2026-07-29,Cadeira Gamer,Mobiliario,3,1411.77,Nordeste
2026-07-29,Monitor,Eletronicos,11,1539.90,Sul
2026-07-29,SSD 1TB,Armazenamento,1,421.44,Centro-Oeste
2026-07-30,Headset,Perifericos,3,249.42,Sul
2026-07-30,Monitor,Eletronicos,2,937.65,Centro-Oeste
2026-07-30,Webcam,Perifericos,6,398.08,Nordeste
2026-07-30,Mesa Ajustavel,Mobiliario,10,2436.08,Sudeste
2026-07-30,HD Externo 2TB,Armazenamento,9,415.23,Sudeste
2026-07-30,Notebook,Eletronicos,14,3482.75,Nordeste
2026-07-30,Mouse,Perifericos,6,163.25,Sudeste
2026-07-30,SSD 1TB,Armazenamento,2,385.26,Nordeste
2026-07-31,Webcam,Perifericos,11,239.11,Centro-Oeste
2026-07-31,SSD 1TB,Armazenamento,3,353.98,Centro-Oeste
2026-07-31,Notebook,Eletronicos,,4045.01,Sudeste
2026-07-31,Pen Drive 128GB,Armazenamento,15,127.58,Sul
2026-07-31,Pen Drive 128GB,Armazenamento,6,52.68,Sudeste
2026-07-31,Teclado,Perifericos,2,239.53,Nordeste
2026-07-31,Pen Drive 128GB,Armazenamento,4,94.84,Nordeste
2026-07-31,SSD 1TB,Armazenamento,5,530.70,Centro-Oeste
2026-07-31,Headset,Perifericos,3,154.81,Sudeste
2026-07-31,SSD 1TB,Armazenamento,9,647.59,Sudeste
2026-07-31,Suporte Monitor,Mobiliario,5,224.31,Sul
2026-07-31,Pen Drive 128GB,Armazenamento,12,118.57,Sul
2026-07-31,Teclado,Perifericos,5,205.39,Sul
2026-07-31,Notebook,Eletronicos,15,3918.31,Nordeste
2026-07-31,Pen Drive 128GB,Armazenamento,10,52.22,Sudeste
2026-08-01,Teclado,Perifericos,5,96.26,Norte
2026-08-01,Mouse,Perifericos,4,131.24,Nordeste
2026-08-01,Monitor,Eletronicos,11,824.15,Nordeste
2026-08-01,SSD 1TB,Armazenamento,11,770.77,Centro-Oeste
2026-08-01,Webcam,Perifericos,2,458.47,Sul
2026-08-01,Mesa Ajustavel,Mobiliario,6,1208.99,Sudeste
2026-08-01,SSD 1TB,Armazenamento,10,766.70,Sudeste
2026-08-01,Cadeira Gamer,Mobiliario,15,1515.42,Norte
2026-08-01,Cadeira Gamer,Mobiliario,7,1574.78,Sul
2026-08-02,HD Externo 2TB,Armazenamento,2,517.54,Nordeste
2026-08-02,SSD 1TB,Armazenamento,3,398.19,Sudeste
2026-08-02,Cadeira Gamer,Mobiliario,5,1170.90,Sudeste
2026-08-02,Teclado,Perifericos,13,165.17,Nordeste
2026-08-02,HD Externo 2TB,Armazenamento,11,591.07,Sudeste
2026-08-02,Teclado,Perifericos,3,174.06,Norte
2026-08-02,Cadeira Gamer,Mobiliario,5,1942.65,Sudeste
2026-08-02,SSD 1TB,Armazenamento,8,738.32,Sudeste
2026-08-02,Mouse,Perifericos,6,50.40,Nordeste
2026-08-02,Monitor,Eletronicos,14,1289.28,Nordeste
2026-08-02,Cadeira Gamer,Mobiliario,6,1613.67,Sudeste
2026-08-02,Monitor,Eletronicos,12,908.14,Nordeste
2026-08-02,SSD 1TB,Armazenamento,7,719.32,Nordeste
2026-08-02,Headset,Perifericos,9,314.81,Nordeste
2026-08-02,Pen Drive 128GB,Armazenamento,10,97.15,Nordeste
2026-08-02,Smartphone,Eletronicos,10,1329.38,Sudeste
2026-08-02,Smartphone,Eletronicos,5,1952.56,Sudeste
2026-08-03,Cadeira Gamer,Mobiliario,14,1331.42,Sul
2026-08-03,Teclado,Perifericos,11,375.07,Norte
2026-08-03,Smartphone,Eletronicos,8,1469.10,Norte
2026-08-03,Mesa Ajustavel,Mobiliario,11,2306.82,Sul
2026-08-03,Webcam,Perifericos,15,232.15,Sul
2026-08-03,Headset,Perifericos,7,148.23,Sul
2026-08-03,Smartphone,Eletronicos,5,3585.23,Sul
2026-08-03,Monitor,Eletronicos,5,1021.53,Sudeste
2026-08-03,Cadeira Gamer,Mobiliario,11,1435.50,Sudeste
2026-08-03,HD Externo 2TB,Armazenamento,6,624.44,Sudeste
2026-08-04,Smartphone,Eletronicos,2,1580.75,Sudeste
2026-08-04,Suporte Monitor,Mobiliario,13,311.36,Sudeste
2026-08-04,Suporte Monitor,Mobiliario,6,201.26,Sudeste
2026-08-04,Webcam,Perifericos,10,412.27,Sudeste
2026-08-04,Smartphone,Eletronicos,14,3001.40,Nordeste
2026-08-04,HD Externo 2TB,Armazenamento,8,569.28,Nordeste
2026-08-04,Pen Drive 128GB,Armazenamento,5,83.19,Sul
2026-08-04,Headset,Perifericos,10,340.78,Nordeste
2026-08-04,SSD 1TB,Armazenamento,14,678.41,Sul
2026-08-04,Pen Drive 128GB,Armazenamento,15,48.56,Centro-Oeste
2026-08-05,Notebook,Eletronicos,3,4162.25,Sul
2026-08-05,HD Externo 2TB,Armazenamento,2,515.38,Sudeste
2026-08-05,Pen Drive 128GB,Armazenamento,6,106.83,Nordeste
2026-08-05,Pen Drive 128GB,Armazenamento,10,49.77,Sul
2026-08-05,Smartphone,Eletronicos,5,3716.01,Nordeste
2026-08-05,Notebook,Eletronicos,5,3106.45,Sudeste
2026-08-05,Monitor,Eletronicos,14,1662.69,Sul
2026-08-05,Mouse,Perifericos,2,42.40,Sul
2026-08-05,Pen Drive 128GB,Armazenamento,3,48.77,Sul
2026-08-06,HD Externo 2TB,Armazenamento,3,420.05,Sul
2026-08-06,Monitor,Eletronicos,14,1611.09,Sul
2026-08-06,Suporte Monitor,Mobiliario,11,358.38,Sul
2026-08-06,Smartphone,Eletronicos,2,2419.19,Nordeste
2026-08-06,Teclado,Perifericos,8,101.45,Sudeste
2026-08-06,SSD 1TB,Armazenamento,5,435.92,Norte
2026-08-06,Mesa Ajustavel,Mobiliario,11,2524.99,Nordeste
2026-08-06,Pen Drive 128GB,Armazenamento,4,64.26,Sudeste
2026-08-06,Pen Drive 128GB,Armazenamento,4,90.39,Sudeste
2026-08-06,SSD 1TB,Armazenamento,14,490.76,Centro-Oeste
2026-08-06,Mouse,Perifericos,2,93.11,Sudeste
2026-08-06,HD Externo 2TB,Armazenamento,11,436.51,Sudeste
2026-08-06,Mesa Ajustavel,Mobiliario,14,2077.46,Sudeste
2026-08-07,Mouse,Perifericos,9,164.17,Nordeste
2026-08-07,Webcam,Perifericos,7,343.87,Sudeste
2026-08-07,Monitor,Eletronicos,11,907.71,Sul
2026-08-07,SSD 1TB,Armazenamento,6,717.55,Nordeste
2026-08-07,Suporte Monitor,Mobiliario,9,204.58,Sul
2026-08-07,SSD 1TB,Armazenamento,8,532.37,Sudeste
2026-08-07,Webcam,Perifericos,9,304.90,Sudeste
2026-08-07,HD Externo 2TB,Armazenamento,9,511.21,Nordeste
2026-08-07,Pen Drive 128GB,Armazenamento,8,50.34,Norte
2026-08-07,Cadeira Gamer,Mobiliario,9,913.17,Sul
2026-08-07,Monitor,Eletronicos,6,855.80,Sul
2026-08-08,Webcam,Perifericos,11,304.55,Sudeste
2026-08-08,Teclado,Perifericos,6,162.34,Nordeste
2026-08-08,Pen Drive 128GB,Armazenamento,8,84.44,Sul
2026-08-08,Pen Drive 128GB,Armazenamento,15,48.49,Centro-Oeste
2026-08-08,Suporte Monitor,Mobiliario,4,186.64,Sul
2026-08-08,Headset,Perifericos,2,387.41,Sudeste
2026-08-08,Mouse,Perifericos,8,188.60,Sul
2026-08-08,SSD 1TB,Armazenamento,6,350.32,Sudeste
2026-08-08,SSD 1TB,Armazenamento,14,755.67,Centro-Oeste
2026-08-08,Smartphone,Eletronicos,8,1313.60,Sudeste
2026-08-08,Mouse,Perifericos,3,80.15,Sudeste
2026-08-08,HD Externo 2TB,Armazenamento,11,412.14,Sul
2026-08-09,Webcam,Perifericos,6,401.19,Sudeste
2026-08-09,Suporte Monitor,Mobiliario,3,190.01,Sul
2026-08-09,Mesa Ajustavel,Mobiliario,12,2690.63,Sudeste
2026-08-09,Headset,Perifericos,10,189.46,Sudeste
2026-08-09,Pen Drive 128GB,Armazenamento,8,121.84,Sudeste
2026-08-09,Mouse,Perifericos,10,56.45,Sudeste
2026-08-09,HD Externo 2TB,Armazenamento,9,643.86,Sudeste
2026-08-09,Monitor,Eletronicos,12,1507.96,Nordeste
2026-08-09,Smartphone,Eletronicos,12,2419.69,Sul
2026-08-09,Mesa Ajustavel,Mobiliario,9,2097.47,Sudeste
2026-08-09,HD Externo 2TB,Armazenamento,8,391.46,Sudeste
2026-08-10,Monitor,Eletronicos,6,1520.23,Sudeste
2026-08-10,Cadeira Gamer,Mobiliario,12,2116.75,Sudeste
2026-08-10,Suporte Monitor,Mobiliario,10,138.73,Sul
2026-08-10,Monitor,Eletronicos,12,988.37,Sul
2026-08-10,Mesa Ajustavel,Mobiliario,5,2494.94,Nordeste
2026-08-10,Mouse,Perifericos,3,167.19,Sul
2026-08-10,SSD 1TB,Armazenamento,8,534.28,Sul
2026-08-10,Notebook,Eletronicos,1,4412.53,Nordeste
2026-08-10,SSD 1TB,Armazenamento,8,728.94,Sul
2026-08-10,Notebook,Eletronicos,7,3659.26,Centro-Oeste
2026-08-11,Monitor,Eletronicos,13,935.54,Nordeste
2026-08-11,Mesa Ajustavel,Mobiliario,10,2691.64,Sudeste
2026-08-11,Pen Drive 128GB,Armazenamento,7,87.74,Norte
2026-08-11,HD Externo 2TB,Armazenamento,6,673.72,Sul
2026-08-11,Smartphone,Eletronicos,11,2823.65,Centro-Oeste
2026-08-11,Mouse,Perifericos,2,42.84,Centro-Oeste
2026-08-12,Teclado,Perifericos,14,347.46,Norte
2026-08-12,Headset,Perifericos,2,543.65,Sul
2026-08-12,Mesa Ajustavel,Mobiliario,13,1248.70,Sul
2026-08-12,Webcam,Perifericos,11,512.61,Centro-Oeste
2026-08-12,Headset,Perifericos,8,524.43,Sul
2026-08-12,Mesa Ajustavel,Mobiliario,7,1665.89,Sudeste
2026-08-12,Teclado,Perifericos,14,141.13,Nordeste
2026-08-12,Notebook,Eletronicos,9,3772.87,Sul
2026-08-12,Mesa Ajustavel,Mobiliario,3,2225.04,Sul
2026-08-12,SSD 1TB,Armazenamento,8,432.64,Nordeste
2026-08-12,Webcam,Perifericos,8,177.00,Sudeste
2026-08-12,Smartphone,Eletronicos,14,3067.74,Nordeste
2026-08-12,Monitor,Eletronicos,4,1302.45,Sudeste
2026-08-13,Smartphone,Eletronicos,,2493.56,Centro-Oeste
2026-08-13,HD Externo 2TB,Armazenamento,2,631.26,Centro-Oeste
